,answers,count
1,"An-app based solution should be able to find all kinds of key finder devices (from Apple, Samsung, Tile, etc)",68.72263468494194
0,It should be integrated into Smartphones by default,66.64762992575672
5,Bluetooth Tracker should draw attention to theirselves after some time (Light/Sound signals),53.3028745478774
4,Manufacturers of key finders should prevent using the device for location tracking through technical measures,45.783361888444695
3,Governments should provide solutions (can be an app or legislation),37.67371026080335
2,All manufacturers of key finders should publish their own apps that detect stalking attempts,32.13401865600609
6,Other,5.273177232057872
