,answers,count
2,"Jealousy, envy or distrust",49.353233830845774
3,Revenge,37.3134328358209
4,Feeling hurt by rejection,36.71641791044776
0,Desire for a loving relationship,26.46766169154229
5,Other,24.378109452736318
1,Resumption of a former relationship,20.298507462686565
