,answers,count
0,Stalking,91.94745859508852
1,Car theft (tracking a valuable car to its parking location),64.59166190748144
3,Absence tracking (detecting when someone is not at home),53.13154387968779
2,Espionage,42.528079192842185
4,Other,6.377308204835332
