"deviceType","duration_sec"
"TILE","2278318"
"TILE","2277358"
"TILE","2230213"
"TILE","2228183"
"TILE","2199539"
"TILE","2189097"
"TILE","2187251"
"TILE","2110618"
"TILE","2059257"
"TILE","2055293"
"TILE","2037533"
"TILE","2036511"
"TILE","2025134"
"TILE","2013714"
"TILE","1922396"
"TILE","1920483"
"TILE","1919565"
"TILE","1917542"
"TILE","1913336"
"TILE","1909132"
"TILE","1863418"
"TILE","1850159"
"TILE","1668162"
"TILE","1257264"
"TILE","1255253"
"TILE","1252318"
"TILE","1249425"
"TILE","1246550"
"TILE","1244653"
"TILE","1243677"
"TILE","1241744"
"TILE","1240785"
"TILE","1239838"
"TILE","1164228"
"TILE","1156569"
"TILE","1154514"
"TILE","1153552"
"TILE","1152583"
"TILE","1151629"
"TILE","1150671"
"TILE","1106286"
"TILE","1007571"
"TILE","1006439"
"TILE","1004458"
"TILE","934141"
"TILE","841790"
"TILE","789772"
"TILE","772138"
"TILE","770099"
"TILE","713059"
"TILE","711942"
"TILE","669110"
"TILE","662920"
"TILE","659743"
"TILE","592042"
"TILE","591059"
"TILE","504542"
"TILE","499490"
"TILE","489346"
"TILE","484064"
"TILE","483004"
"TILE","475435"
"TILE","474474"
"TILE","392322"
"TILE","391397"
"TILE","389517"
"TILE","388551"
"TILE","387593"
"TILE","385701"
"TILE","382811"
"TILE","381823"
"TILE","380867"
"TILE","378946"
"TILE","313723"
"TILE","311634"
"TILE","307858"
"TILE","306882"
"TILE","305878"
"TILE","303942"
"TILE","293217"
"TILE","292254"
"TILE","288481"
"TILE","286552"
"TILE","170262"
"TILE","167379"
"TILE","159239"
"TILE","97982"
"TILE","73788"
"TILE","71691"
"TILE","58125"
"TILE","56148"
"TILE","55160"
"TILE","51313"
"TILE","50372"
"TILE","47386"
"TILE","46430"
"TILE","45476"
"TILE","44511"
"TILE","43552"
"TILE","42590"
"TILE","41623"
"TILE","36658"
"TILE","35721"
"TILE","31820"
"TILE","30822"
"TILE","29886"
"TILE","27959"
"TILE","26012"
"TILE","24112"
"TILE","23037"
"TILE","19059"
"TILE","18111"
"TILE","16142"
"TILE","25002474"
"TILE","23602"
"TILE","22546"
"TILE","21618"
"TILE","25335170"
"TILE","25333338"
"TILE","25332417"
"TILE","25331503"
"TILE","25329672"
"TILE","24729423"
"TILE","24727494"
"TILE","24726413"
"TILE","23660"
"TILE","22672"
"TILE","21743"
"TILE","48235347"
"TILE","48217965"
"TILE","48058655"
"TILE","47196158"
"TILE","46937188"
"TILE","46919062"
"TILE","45901022"
"TILE","45888601"
"TILE","45294127"
"TILE","45292254"
"TILE","44693993"
"TILE","44686055"
"TILE","44501875"
"TILE","44434382"
"TILE","44074403"
"TILE","43915779"
"TILE","42965578"
"TILE","42952307"
"TILE","42086922"
"TILE","41740788"
"TILE","40279112"
"TILE","39836897"
"TILE","39580515"
"TILE","39335223"
"TILE","39333164"
"TILE","39331932"
"TILE","39330938"
"TILE","39329701"
"TILE","39321321"
"TILE","38029857"
"TILE","37780258"
"TILE","37516480"
"TILE","36741025"
"TILE","36571013"
"TILE","36223931"
"TILE","36140837"
"TILE","35968231"
"TILE","35705710"
"TILE","35531977"
"TILE","35005956"
"TILE","35002133"
"TILE","33533574"
"TILE","33277787"
"TILE","32593522"
"TILE","32584841"
"TILE","32583840"
"TILE","32418766"
"TILE","32407518"
"TILE","32334197"
"TILE","31905378"
"TILE","31899606"
"TILE","31720760"
"TILE","31719850"
"TILE","31718890"
"TILE","30870003"
"TILE","30691513"
"TILE","30681310"
"TILE","30172732"
"TILE","29053867"
"TILE","28181770"
"TILE","28180698"
"TILE","28179795"
"TILE","27501196"
"TILE","27500285"
"TILE","27141710"
"TILE","27136041"
"TILE","27135015"
"TILE","26977771"
"TILE","26971240"
"TILE","26894859"
"TILE","26891935"
"TILE","26028723"
"TILE","26027816"
"TILE","25928430"
"TILE","25858454"
"TILE","25676307"
"TILE","25427924"
"TILE","25409165"
"TILE","24802585"
"TILE","24204976"
"TILE","23860440"
"TILE","23852666"
"TILE","23332763"
"TILE","23257005"
"TILE","22401142"
"TILE","22292374"
"TILE","22229720"
"TILE","21796753"
"TILE","21449893"
"TILE","21447089"
"TILE","21441388"
"TILE","21008181"
"TILE","21007123"
"TILE","20934181"
"TILE","20926694"
"TILE","19984212"
"TILE","19971371"
"TILE","19970244"
"TILE","19808583"
"TILE","19795997"
"TILE","19794145"
"TILE","19716465"
"TILE","19715555"
"TILE","19711874"
"TILE","19710883"
"TILE","19709973"
"TILE","19708082"
"TILE","19282799"
"TILE","19280950"
"TILE","19192022"
"TILE","21614"
"TILE","27755509"
"TILE","27737821"
"TILE","27735415"
"TILE","27240832"
"TILE","27238587"
"TILE","26456800"
"TILE","24640770"
"TILE","24128442"
"TILE","24127504"
"TILE","24125361"
"TILE","24123252"
"TILE","24120324"
"TILE","24047625"
"TILE","24045751"
"TILE","24030261"
"TILE","24021805"
"TILE","22920397"
