"beacon_count_before_first_notification"
"38"
"16"
"21"
"4"
"16"
"74"
"265"
"4"
"11"
"111"
"116"
"237"
"12"
"4"
"36"
"25"
"58"
"25"
"46"
"8"
"31"
"8"
"3"
"170"
"248"
"141"
"4"
"3"
"332"
"18"
"6"
"12"
"8"
"186"
"9"
"3"
"25"
"23"
"11"
"3"
"4"
"21"
"7"
"6"
"303"
"43"
"8"
"72"
"55"
"497"
"17"
"11"
"6"
"1"
"4"
"7529"
"703"
"8"
"108"
"5"
"3"
"11"
"8"
"5"
"7"
"19"
"8"
"50"
"225"
"10"
"24"
"3"
"15"
"20"
"172"
"9"
"16"
"4"
"4"
"6"
"3"
"81"
"1466"
"25"
"344"
"283"
"11"
"272"
"351"
"10"
"35"
"52"
"6"
"54"
"94"
"5"
"325"
"109"
"5"
"161"
"5"
"329"
"54"
"3"
"59"
"3"
"568"
"1299"
"85"
"71"
"393"
"125"
"14"
"7"
"1160"
"588"
"1210"
"6"
"4"
"45"
"515"
"13"
"260"
"8"
"24"
"11"
"2062"
"42"
"3"
"7"
"78"
"11"
"139"
"63"
"13"
"45"
"24"
"368"
"1724"
"3"
"4"
"47"
"18"
"671"
"15"
"42"
"53"
"29"
"4"
"26"
"25"
"84"
"4"
"19"
"339"
"34"
"21"
"13"
"3"
"41"
"5"
"10"
"5"
"3"
"792"
"37"
"489"
"3"
"8"
"202"
"4"
"7"
"10"
"43"
"6"
"14"
"355"
"3"
"118"
"3"
"532"
"223"
"20"
"10"
"11"
"8"
"15"
"3"
"3"
"11"
"35"
"15"
"9"
"171"
"8"
"3"
"12"
"4"
"256"
"4"
"3"
"4"
"145"
"4"
"76"
"2"
"7"
"19"
"5"
"2"
"2"
"31"
"15"
"4"
"11"
"4"
"10"
"4"
"18"
"10"
"17"
"4"
"2"
"1"
"124"
"13"
"13"
"2"
"3"
"21"
"4"
"10"
"3"
"37"
"35"
"6"
"7"
"0"
"24"
"8"
"3"
"14"
"3"
"7"
"8"
"14"
"3"
"6"
"6"
"2"
"7"
"3"
"70"
"36"
"8"
"16"
"18"
"4"
"2"
"2"
"1"
"16"
"24"
"15"
"11"
"3"
"26"
"7"
"12"
"67"
"42"
"10"
"18"
"9"
"7"
"39"
"3"
"36"
"384"
"6"
"14"
"3"
"10"
"12"
"4"
"7"
"37"
"41"
"4"
"7"
"6"
"3"
"7"
"10"
"32"
"16"
"32"
"11"
"2"
"608"
"619"
"261"
"4"
"10"
"16"
"14"
"39"
"10"
"5"
"6"
"7"
"4"
"5"
"5"
"4"
"4"
"12"
"9"
"3"
"5"
"1024"
"15"
"173"
"9"
"4"
"7"
"4"
"17"
"4"
"5"
"30"
"35"
"5"
"4"
"18"
"2"
"2"
"11"
"245"
"12"
"1"
"30"
"2"
"2"
"0"
"0"
"3"
"12"
"15"
"12"
"5"
"15"
"26"
"4"
"23"
"45"
"9"
"1"
"10"
"2"
"4"
"259"
"260"
"1"
"10"
"4"
"166"
"3"
"4"
"20"
"31"
"1"
"4"
"3"
"14"
"79"
"1088"
"723"
"737"
"3"
"15"
"5"
"11"
"7"
"7"
"5"
"0"
"5"
"9"
"2"
"1"
"8"
"5"
"3"
"10"
"73"
"3"
"3"
"8"
"20"
"55"
"212"
"51"
"3"
"3"
"5"
"4"
"6"
"5"
"23"
"23"
"4"
"6"
"2"
"4"
"137"
"7"
"7"
"5"
"18"
"1"
"1"
"2"
"30"
"8"
"22"
"3"
"22"
"4"
"32"
"32"
"2"
"6"
"5"
"3"
"2"
"6"
"4"
"405"
"2"
"5"
"7"
"6"
"5"
"1"
"3"
"3"
"23"
"4"
"37"
"217"
"201"
"14"
"4"
"14"
"15"
"3"
"110"
"110"
"106"
"118"
"87"
"118"
"114"
"119"
"117"
"85"
"86"
"1"
"4"
"4"
"3"
"1"
"5"
"8"
"7"
"1"
"3"
"2"
"1"
"1"
"1"
"6"
"8"
"0"
"4"
"3"
"3"
"7"
"16"
"10"
"4"
"3"
"1"
"9"
"25"
"14"
"1"
"1"
"1"
"1"
"1"
"1"
"60"
"4"
"14"
"525"
"3"
"0"
"156"
"3"
"4"
"2"
"0"
"10"
"2"
"15"
"3"
"3"
"16"
"18"
"2"
"4"
"12"
"20"
"2"
"1"
"15"
"10"
"16"
"17"
"18"
"2"
"2"
"26"
"22"
"22"
"22"
"16"
"20"
"9"
"17"
"15"
"13"
"13"
"15"
"13"
"6"
"25"
"12"
"4"
"0"
"1"
"4"
"8"
"1"
"7"
"8"
"29"
"11"
"3"
"8"
"9"
"3"
"3"
"5"
"4"
"16"
"4"
"8"
"12"
"13"
"8"
"12"
"11"
"7"
"10"
"5"
"6"
"10"
"9"
"10"
"9"
"10"
"9"
"0"
"0"
"16"
"8"
"10"
"7"
"8"
"2"
"11"
"60"
